SN,ID,Year,Semester,,CourseNumber,CourseName,CourseType,Gender,Asignment,StudentsGrade,InstructorsGrade,Difference
1,23B6,2016,Fall,2,111,,F2F,0,exam1,100,100,0
4,23B10,2016,Fall,2,111,,F2F,1,exam1,100,100,0
6,23A19,2016,Fall,2,111,,F2F,0,exam2,100,100,0
7,23B13,2016,Fall,2,111,,F2F,1,exam2,100,100,0
8,23A7,2016,Fall,2,191,,F2F,0,exam3,100,100,0
9,23A3,2016,Fall,2,191,,F2F,1,exam3,100,100,0
10,23A8,2016,Fall,2,192,CalculusII,F2F,1,Quiz1,100,100,0
11,23A14,2016,Fall,2,192,CalculusII,F2F,1,Quiz1,100,100,0
13,23B2,2016,Fall,2,192,CalculusII,F2F,1,Quiz1,100,100,0
114,23B10,2016,Fall,2,192,CalculusII,F2F,0,Quiz1,100,100,0
119,23A3,2016,Fall,2,192,CalculusII,F2F,1,Quiz1,100,100,0
123,23B2,2016,Fall,2,192,CalculusII,F2F,1,Quiz1,100,100,0
221,23B6,2016,Fall,2,192,CalculusII,F2F,0,Quiz1,100,100,0
226,23A19,2016,Fall,2,192,CalculusII,F2F,0,Quiz1,100,100,0
229,23A3,2016,Fall,2,192,CalculusII,F2F,1,Quiz1,100,100,0
231,23A14,2016,Fall,2,192,CalculusII,F2F,1,Quiz2,100,100,0
233,23B2,2016,Fall,2,192,CalculusII,F2F,1,Quiz2,100,100,0
259,23A10,2016,Fall,2,192,CalculusII,F2F,1,Quiz2,100,100,0
321,23A18,2016,Fall,2,192,CalculusII,F2F,1,Quiz3,100,100,0
431,23A18,2016,Fall,2,192,CalculusII,F2F,1,Quiz3,100,100,0
449,23A3,2016,Fall,2,192,CalculusII,F2F,1,Quiz3,100,100,0
451,23A14,2016,Fall,2,192,CalculusII,F2F,0,Quiz3,100,100,0
556,23A19,2016,Fall,2,192,CalculusII,F2F,1,Quiz3,100,100,0
557,23B13,2016,Fall,2,192,CalculusII,F2F,1,Quiz3,100,100,0
661,23B6,2016,Fall,2,192,CalculusII,F2F,0,Quiz3,100,100,0
666,23A19,2016,Fall,2,192,CalculusII,F2F,0,Quiz4,100,100,0
667,23B13,2016,Fall,2,192,CalculusII,F2F,1,Quiz5,100,100,0
671,23A14,2016,Fall,2,192,CalculusII,F2F,0,Quiz5,100,100,0
771,23B6,2016,Fall,2,192,CalculusII,F2F,1,Quiz6,100,100,0
780,23A8,2016,Fall,2,192,CalculusII,F2F,0,Quiz6,100,100,0
1236,13B12,2016,Fall,2,192,CalculusII,F2F,1,Quiz7,100,100,0
1109,23A3,2016,Fall,2,192,CalculusII,F2F,1,Quiz7,100,100,0
884,23B10,2016,Fall,2,192,CalculusII,F2F,0,Quiz7,100,100,0
1101,23B6,2016,Fall,2,192,CalculusII,F2F,0,Quiz7,100,100,0
1211,23B6,2016,Fall,2,192,CalculusII,F2F,1,Quiz8,100,100,0
568,13B13,2016,Fall,2,192,CalculusII,F2F,0,Quiz8,100,100,0
1118,13B13,2016,Fall,2,192,,F2F,0,Midterm I,100,100,0
1259,13B4,2016,Fall,2,192,,F2F,1,QUIZ,100,100,0
992,23A5,2016,Fall,2,192,,F2F,0,Quiz 1,100,100,0
997,23B13,2016,Fall,2,192,,F2F,1,Quiz 1,100,100,0
132,13A30,2016,Fall,2,192,,F2F,0,Quiz 1 ,100,100,0
462,13A30,2016,Fall,2,192,,F2F,0,Quiz 2,100,100,0
1012,13A30,2016,Fall,2,192,,F2F,0,Quiz 2,100,100,0
2,23A5,2016,Fall,2,192,,F2F,0,Quiz 2,100,100,0
3,23A12,2016,Fall,2,192,,F2F,1,Quiz 2,100,100,0
112,23A5,2016,Fall,2,192,,F2F,0,Quiz 3,100,100,0
222,23A5,2016,Fall,2,192,,F2F,0,Quiz 3,100,100,0
319,23B14,2016,Fall,2,192,,F2F,0,Quiz 3,100,100,0
332,23A5,2016,Fall,2,192,,F2F,0,Quiz 3,100,100,0
429,23B14,2016,Fall,2,192,,F2F,1,Quiz 3,100,100,0
561,23A14,2016,Fall,2,192,,F2F,0,quiz1,100,100,0
777,23B13,2016,Fall,2,192,,F2F,0,quiz1,100,100,0
133,13A20,2016,Fall,2,192,,F2F,0,quiz1,100,100,0
463,13A20,2016,Fall,2,192,,F2F,0,quiz1,100,100,0
1013,13A20,2016,Fall,2,192,,F2F,1,quiz1,100,100,0
1226,13B29,2016,Fall,2,192,,F2F,1,quiz1,100,100,0
1111,23A14,2016,Fall,2,192,,F2F,1,quiz1,100,100,0
125,13A11,2016,Fall,2,192,,F2F,1,quiz1,100,100,0
455,13A11,2016,Fall,2,192,,F2F,1,quiz1,100,100,0
1005,13A11,2016,Fall,2,192,,F2F,1,quiz1,100,100,0
5,23A15,2016,Fall,2,192,,F2F,1,quiz1,100,100,0
12,23A2,2016,Fall,2,192,,F2F,0,quiz1,100,100,0
225,23A15,2016,Fall,2,192,,F2F,0,quiz1,100,100,0
441,23B6,2016,Fall,2,192,,F2F,1,quiz1,100,100,0
450,23A8,2016,Fall,2,192,,F2F,1,quiz1,100,100,0
662,23A5,2016,Fall,2,192,,F2F,1,quiz1,100,100,0
760,23B16,2016,Fall,2,192,,F2F,1,quiz1,100,100,0
775,23A15,2016,Fall,2,192,,F2F,1,quiz1,100,100,0
580,13C21,2016,Fall,2,192,,F2F,1,quiz1,100,100,0
690,13C21,2016,Fall,2,192,,F2F,0,Quiz1,100,100,0
1130,13C21,2016,Fall,2,192,,F2F,0,Quiz1,100,100,0
111,23B6,2016,Fall,2,192,,F2F,0,Quiz1,100,100,0
223,23A12,2016,Fall,2,192,,F2F,1,Quiz1,100,100,0
663,23A12,2016,Fall,2,192,,F2F,1,Quiz1,100,100,0
773,23A12,2016,Fall,2,192,,F2F,1,Quiz1,100,100,0
610,13C17,2016,Fall,2,192,,F2F,1,quiz2,100,100,0
720,13C17,2016,Fall,2,320,,F2F,0,quiz2,100,100,0
1160,13C17,2016,Fall,2,320,,F2F,0,quiz2,100,100,0
116,23A19,2016,Fall,2,320,,F2F,0,quiz2,100,100,0
442,23A5,2016,Fall,2,320,,F2F,0,quiz2,100,100,0
443,23A12,2016,Fall,2,320,,F2F,0,quiz2,100,100,0
539,23B14,2016,Fall,2,320,,F2F,0,quiz2,100,100,0
999,23A3,2016,Fall,2,320,,F2F,1,quiz2,100,100,0
126,13B29,2016,Fall,2,320,,F2F,1,quiz2,100,100,0
456,13B29,2016,Fall,2,320,,F2F,1,quiz2,100,100,0
1006,13B29,2016,Fall,2,320,,F2F,1,quiz2,100,100,0
14,13A7,2016,Fall,2,320,,F2F,1,quiz2,100,100,0
124,13A7,2016,Fall,2,320,,F2F,1,quiz2,100,100,0
344,13A7,2016,Fall,2,320,,F2F,1,quiz2,100,100,0
454,13A7,2016,Fall,2,320,,F2F,1,quiz2,100,100,0
894,13A7,2016,Fall,2,320,,F2F,0,quiz3,100,100,0
1004,13A7,2016,Fall,2,320,,F2F,0,quiz3,100,100,0
881,23B6,2016,Fall,2,320,,F2F,1,quiz3,100,100,0
574,13A26,2016,Fall,2,320,,F2F,1,quiz3,100,100,0
1124,13A26,2016,Fall,2,320,,F2F,1,quiz3,100,100,0
146,13B9,2016,Fall,2,320,,F2F,1,quiz3,100,100,0
476,13B9,2016,Fall,2,320,,F2F,1,quiz3,100,100,0
1026,13B9,2016,Fall,2,320,,F2F,1,quiz3,100,100,0
15,13A11,2016,Fall,2,320,,F2F,1,quiz3,100,100,0
345,13A11,2016,Fall,2,320,,F2F,1,quiz3,100,100,0
895,13A11,2016,Fall,2,320,,F2F,1,quiz3,100,100,0
241,13D7,2016,Fall,2,320,,F2F,0,quiz3,100,100,0
571,13D7,2016,Fall,2,320,,F2F,0,quiz3,100,100,0
681,13D7,2016,Fall,2,1101,,F2F,0,quiz4,100,100,0
1121,13D7,2016,Fall,2,1101,,F2F,1,quiz4,100,100,0
1243,23B5,2016,Fall,2,1101,,F2F,0,quiz4,100,100,0
686,13B12,2016,Fall,2,1101,,F2F,0,quiz4,100,100,0
1260,13B23,2016,Fall,2,1101,,F2F,0,quiz4,100,100,0
236,13B29,2016,Fall,2,1101,,F2F,0,quiz4,100,100,0
564,13A7,2016,Fall,2,1101,,F2F,0,quiz4,100,100,0
1114,13A7,2016,Fall,2,1101,,F2F,0,quiz4,100,100,0
127,13B24,2016,Fall,2,1101,,F2F,0,quiz4,100,100,0
457,13B24,2016,Fall,2,1101,,F2F,0,quiz4,100,100,0
1007,13B24,2016,Fall,2,1101,,F2F,0,quiz4,100,100,0
678,13B13,2016,Fall,2,1120,,F2F,0,quiz4,100,100,0
565,13A11,2016,Fall,2,1120,,F2F,0,quiz4,100,100,0
1115,13A11,2016,Fall,2,1120,,F2F,0,quiz4,100,100,0
812,13C5,2016,Fall,2,1120,,F2F,0,quiz4,100,100,0
1252,13C5,2016,Fall,2,1120,,F2F,0,quiz4,100,100,0
901,13D7,2016,Fall,2,1120,,F2F,1,quiz4,100,100,0
