ID,Year,Semester,CourseNumber,CourseName,CourseType,Gender,Assignment,StudentsGrade,InstructorsGrade,Difference,Behavior1,Behavior2,Category1,Category,Required,FirstTime,Preparation,PerceivedDiffLevel,ExpGrade,TakeUpDiv,ActualCourseGrade
21A14,2016,0,MAT192.006,Calculus II,F2F,0,Quiz5,50,70,20,0,1,3,2,1,0,3,4,2,0,3
21A14,2016,0,MAT192.006,Calculus II,F2F,0,Quiz1,60,70,10,0,1,1,4,1,0,3,4,2,0,3
21A14,2016,0,MAT192.006,Calculus II,F2F,0,Quiz2,70,100,30,0,1,2,3,1,0,3,4,2,0,3
21A16,2016,0,MAT192.006,Calculus II,F2F,1,Quiz2,90,30,-60,1,0,5,0,0,0,5,3,2,1,3
21A16,2016,0,MAT192.006,Calculus II,F2F,1,Quiz1,100,60,-40,1,0,5,0,0,0,5,3,2,1,3
21A16,2016,0,MAT192.006,Calculus II,F2F,1,Quiz3,50,70,20,0,1,6,5,0,0,5,3,2,1,3
21A16,2016,0,MAT192.006,Calculus II,F2F,1,Quiz6,100,90,-10,1,0,5,0,0,0,5,3,2,1,3
21A16,2016,0,MAT192.006,Calculus II,F2F,1,Quiz5,80,100,20,0,1,2,3,0,0,5,3,2,1,3
21A21,2016,0,MAT192.006,Calculus II,F2F,1,Quiz6,60,90,30,0,1,6,5,1,1,4,4,2,0,3
21A21,2016,0,MAT192.006,Calculus II,F2F,1,Quiz1,80,90,10,0,1,6,5,1,1,4,4,2,0,3
21A21,2016,0,MAT192.006,Calculus II,F2F,1,Quiz4,90,95,5,0,1,1,4,1,1,4,4,2,0,3
21A21,2016,0,MAT192.006,Calculus II,F2F,1,Quiz2,80,100,20,0,1,2,3,1,1,4,4,2,0,3
21A21,2016,0,MAT192.006,Calculus II,F2F,1,Quiz5,90,100,10,0,1,2,3,1,1,4,4,2,0,3
21A23,2016,0,MAT192.006,Calculus II,F2F,1,Quiz2,100,80,-20,1,0,1,4,1,1,4,4,2,1,3
21A6,2016,0,MAT192.006,Calculus II,F2F,1,Quiz4,100,85,-15,1,0,1,4,1,1,4,4,2,1,3
21A6,2016,0,MAT192.006,Calculus II,F2F,1,Quiz2,100,95,-5,1,0,1,4,1,1,4,4,2,1,3
21A6,2016,0,MAT192.006,Calculus II,F2F,1,Quiz5,100,95,-5,1,0,1,4,1,1,4,4,2,1,3
21A6,2016,0,MAT192.006,Calculus II,F2F,1,Quiz6,90,100,10,0,1,2,3,1,1,4,4,2,1,3
21A7,2016,0,MAT192.006,Calculus II,F2F,1,Quiz6,90,70,-20,1,0,3,2,1,1,5,4,2,1,3
21A7,2016,0,MAT192.006,Calculus II,F2F,1,Quiz1,50,70,20,0,1,6,5,1,1,5,4,2,1,3
21B1,2016,0,MAT192.008,Calculus II,F2F,1,Quiz1,100,50,-50,1,0,5,0,1,1,3,5,2,1,3
21B1,2016,0,MAT192.008,Calculus II,F2F,1,Quiz2,90,50,-40,1,0,1,4,1,1,3,5,2,1,3
21B1,2016,0,MAT192.008,Calculus II,F2F,1,Quiz6,70,80,10,0,1,3,2,1,1,3,5,2,1,3
21B1,2016,0,MAT192.008,Calculus II,F2F,1,Quiz3,100,90,-10,1,0,1,4,1,1,3,5,2,1,3
